title,link_mal,release_date,anime_episode,anime_duration,anime_genre,img_link,description,studio,source,show_type
Isekai de Mofumofu Nadenade suru Tame ni Ganbattemasu.,https://myanimelist.net/anime/52359/Isekai_de_Mofumofu_Nadenade_suru_Tame_ni_Ganbattemasu,"Jan 7, 2024",12 eps,23 min ,"['Adventure', 'Fantasy']",,"Twenty-seven-year-old salarywoman Midori Akitsu suddenly dies in her apartment due to overwork. As her spirit leaves her body, God appears before her, offering Midori a second chance at life in another world called Asdyllon. There, she must observe how badly humans persecute other species and judge if they should continue existing.

To help her get started, God grants Midori a special ability: to be liked by all kinds of non-humans—whether it be animals or holy beasts—enabling her to embrace and cuddle them as much as she wants. Now reborn as Nefertima Osfe, a duke's daughter, she enjoys her new life to the fullest alongside her adorable companions. However, it will not be long before she discovers what her task truly entails and that her time in this world will not always be fluffy.

[Written by MAL Rewrite]",EMT Squared,Light novel,TV
30-sai made Doutei dato Mahoutsukai ni Nareru Rashii,https://myanimelist.net/anime/55973/30-sai_made_Doutei_dato_Mahoutsukai_ni_Nareru_Rashii,"Jan 11, 2024",12 eps,23 min ,"['Boys Love', 'Comedy']",,"When mundane office worker Kiyoshi Adachi turns 30 years old, he discovers that he has gained the ability to read minds due simply to remaining a virgin for his entire life. The caveat, however, is that he must make physical contact with a person to know what they are thinking about. Adachi believes there is no real use for this power until he accidentally hears the thoughts of his coworker, Yuuichi Kurosawa.

Charismatic and dependable, Kurosawa is the star of Adachi's team at work, earning praise and admiration from everyone at the office. But deep within, Kurosawa harbors an intense one-sided crush for the gloomy Adachi—a fact that Adachi only learns because of his ability, and knowledge he tries to respectfully disregard. As Kurosawa treats Adachi with kindness and affection he has never experienced before, Adachi finds it increasingly difficult to ignore his coworker's genuine advances.

[Written by MAL Rewrite]",Satelight,Manga,TV
"Himesama ""Goumon"" no Jikan desu",https://myanimelist.net/anime/55774/Himesama_Goumon_no_Jikan_desu,"Jan 9, 2024",12 eps,23 min ,"['Comedy', 'Fantasy', 'Gourmet']",,"As the commander of the Imperial Army's Third Legion, the Royal Empire's princess has led humanity to countless victories against the demonic Hellhorde. However, she has now been captured by the enemy and confined to the dungeons, with her sentient sword, Ex, as her only company.

Due to her royal status, the princess knows invaluable secrets that would help the Hellhorde achieve dominance. To have her reveal all the information they need, the demons do not hesitate to subject the princess to the most vile forms of torture—that is, tempting her with delicious food, lasting friendships, adorable animals, and the most enjoyable experiences imaginable.

[Written by MAL Rewrite]",PINE JAM,Manga,TV
Sengoku Youko: Yonaoshi Kyoudai-hen,https://myanimelist.net/anime/56242/Sengoku_Youko__Yonaoshi_Kyoudai-hen,"Jan 11, 2024",13 eps,23 min ,"['Action', 'Adventure', 'Fantasy']",,"Aspiring samurai Shinsuke Hyoudou's world is turned upside down when he witnesses hermit Jinka Yamato and fox girl Tama Youko slay a brigands' lair in the blink of an eye. Tama happens to be katawara, a magically gifted species, who can share her powers with Jinka through a special ritual. Together, they travel the world as vigilantes to stop evil beings, be they katawara or human.

As Shinsuke learns more about this new world, he discovers that monks perform inhumane research on spiritually gifted civilians, in the hope of creating human-katawara hybrids that can fight against monsters. Soon joined by Shakuyaku—a girl they manage to save from the monks’ experiments—and other allies, the group embarks on a quest to achieve their respective dreams.

[Written by MAL Rewrite]",White Fox,Manga,TV
Momochi-san Chi no Ayakashi Ouji,https://myanimelist.net/anime/55998/Momochi-san_Chi_no_Ayakashi_Ouji,"Jan 6, 2024",12 eps,24 min ,"['Romance', 'Supernatural']",,"Orphan Himari Momochi's only link to her late parents is the house they secretly bequeathed her, which she does not learn of until her 16th birthday. Thrilled by the opportunity to know more about her family, Himari arrives at the rumored haunted house and is bewildered to find three young men already living there: Aoi Nanamori, who identifies himself as the guardian of the place, and his two familiars, Yukari and Ise. Although they allow her to stay overnight, they warn her to leave the next day so she can avoid harm from ayakashi—wandering spirits that sometimes attack human beings.

Surprisingly, Himari is unaffected by her spectral encounters and determined to move in to the residence. After she discovers that Aoi had become guardian unwittingly and is now confined to the property, forgotten by the outside world, her resolve only grows stronger. Touched by his story, Himari decides to find a way to free Aoi from his dim fate, and she convinces the three Momochi House protectors to accept her as their landlady. However, the mysterious Kasha who keeps sending hostile ayakashi to Himari's new home seems to have darker plans for Aoi's future.

[Written by MAL Rewrite]",Drive,Manga,TV
Urusei Yatsura (2022) 2nd Season,https://myanimelist.net/anime/54829/Urusei_Yatsura_2022_2nd_Season,"Jan 12, 2024",23 eps,22 min ,"['Comedy', 'Romance', 'Sci-Fi']",,"Second season of Urusei Yatsura (2022).
",David Production,Manga,TV
High Card Season 2,https://myanimelist.net/anime/54869/High_Card_Season_2,"Jan 8, 2024",12 eps,23 min ,"['Action', 'Fantasy']",,Second season of High Card.,Studio Hibari,Mixed media,TV
Kingdom 5th Season,https://myanimelist.net/anime/53223/Kingdom_5th_Season,"Jan 14, 2024",13 eps,24 min ,['Action'],,Fifth season of Kingdom.,Pierrot,Manga,TV
"Meitou ""Isekai no Yu"" Kaitakuki: Around 40 Onsen Mania no Tensei Saki wa, Nonbiri Onsen Tengoku deshita",https://myanimelist.net/anime/57315/Meitou_Isekai_no_Yu_Kaitakuki__Around_40_Onsen_Mania_no_Tensei_Saki_wa_Nonbiri_Onsen_Tengoku_deshita,"Jan 12, 2024",12 eps,3 min ,"['Fantasy', 'Ecchi']",,"Kouzou Yukawa is a passionate hot springs enthusiast—a hot springs hunter who was able to sniff out the source of springs. One day, while searching for a hidden hot spring to revitalize a town, he slips off a cliff and dies. He is then reincarnated into another world by an Inari deity of a small shrine hidden in the rocks. Kouzou is joined by Inari's messenger princess, Mayudama. The hot spring hunter within Kouzou is stirred right away, as he takes a bath with Mayudama in the hot spring he just discovered. Then, an elf girl appears...

(Source: MAL News)",BloomZ,Light novel,TV
Shaman King: Flowers,https://myanimelist.net/anime/51673/Shaman_King__Flowers,"Jan 10, 2024",13 eps,23 min ,"['Action', 'Adventure', 'Supernatural']",,"The story will center on You and Anna's son, Hana.",Bridge,Manga,TV
Pon no Michi,https://myanimelist.net/anime/55397/Pon_no_Michi,"Jan 6, 2024",12 eps,24 min ,"['Slice of Life', 'Supernatural']",,"When Nashiko Jippensha's mother kicks her out of the house for being too loud, the high school girl needs to find a new place to hang out with her friends. Luckily, Nashiko's father owns a closed-down mahjong parlor that is perfect for her needs. While cleaning out the place, Nashiko discovers a talking bird who introduces himself as a mahjong spirit, encouraging her to try playing the game with her friends.

Realizing that they enjoy the game immensely, Nashiko and her friends decide to continue playing and enjoy the new space they have to hang out.

[Written by MAL Rewrite]",OLM,Original,TV
Yuuki Bakuhatsu Bang Bravern,https://myanimelist.net/anime/55528/Yuuki_Bakuhatsu_Bang_Bravern,"Jan 11, 2024",12 eps,23 min ,"['Action', 'Comedy', 'Sci-Fi']",,"In a world where humanoid armored weapons known as ""Titatonostrider"" (""TS"" for short) are used in warfare, troops from various countries converge on the island of Oahu, Hawaii, including Ao Isami of the Japan Ground Self-Defense Force and Lewis Smith of the United States Marine Corps. Isami and Smith cross paths during battle, but suddenly, their teams are attacked by an unknown enemy, scattering soldiers and sending their forces into disarray. In order to save their friends and survive on the deadly battlefield, they must fight with every ounce of courage and pride that they can muster.

(Source: Crunchyroll News, edited)",CygamesPictures,Original,TV
Synduality: Noir Part 2,https://myanimelist.net/anime/56731/Synduality__Noir_Part_2,"Jan 9, 2024",12 eps,24 min ,"['Action', 'Sci-Fi']",,"Despite returning victorious from a dangerous struggle, Kanata and his friends have, in a sense, lost a key ally, the amnesiac magus Noir. Having partially recovered her memory, Noir reverted back to her former personality: that of Mystere, who acts in a patronizing manner toward her master Kanata. However, Mystere remembers detecting a signal from Histoire, a mystical city, during her former life as an artificially intelligent magus.

Meanwhile, Tokio disappears from Rock Town while hunting down the ghosts of his past; however, shocking revelations await the deeper his search goes. As Kanata, his childhood friend Ellie, and the magus diva Ciel set out for Histoire, a hostile organization named Ideal sends assassins after them. If Kanata wants to stand a chance at accomplishing his dream, he must uncover the unpleasant truth about Ideal—and some of his closest allies.

[Written by MAL Rewrite]",8bit,Mixed media,TV
Meiji Gekken: 1874,https://myanimelist.net/anime/57502/Meiji_Gekken__1874,"Jan 14, 2024",10 eps,27 min ,['Action'],,"Shizuma Origasa, once a renowned samurai in the Aizu Domain, has fallen on hard times following his home region's crushing defeat against the new imperial government. To make ends meet, Shizuma now works as a rickshaw puller in Tokyo. Meanwhile, he tirelessly searches for his missing fiancée, Sumie Kanomata, the younger sister of his close friend Gennosuke, who had entrusted Shizuma with her safety in his final moments.

After foiling an assassination plot, Shizuma is hired by the police force, and he uses this opportunity to further his pursuit of Sumie. However, he soon lands in a whirlpool of political conspiracies involving government loyalists, persistent rebels, cunning courtesans, meddlesome foreigners, and even a mysterious yakuza member, Kyoushirou Shuragami.

[Written by MAL Rewrite]",Tsumugi Akita Animation Lab,Original,TV
Hikari no Ou 2nd Season,https://myanimelist.net/anime/54754/Hikari_no_Ou_2nd_Season,"Jan 14, 2024",10 eps,24 min ,"['Adventure', 'Drama', 'Fantasy']",,"After escaping a violent encounter, Touko finds herself lost in the chaos of a city under invasion by Spiders, a tribe of people with dangerous supernatural abilities. Touko has traveled to the city intending to return the possessions of Haijuu, a fire hunter who died protecting her. She is aided by Haijuu's dog, Kanata, and Akira, a fire hunter who has protected her on her journey so far. When Akira is drawn away by an important task, Touko is swept into the battle's confusion to begin a new journey of her own.

Meanwhile, Haijuu's son Koushi fights to defend the city. Though physically unremarkable, Koushi's ingenuity has aided in the development of a few useful weapons. These include a powerful cannon capable of casting down ungodly lightning to smite the invading forces. With such destructive force seen as an offense to the gods, the deity Hibari seeks to stop him.

As they are both drawn into the unraveling plans of scheming gods and humans alike, Touko and Koushi struggle to survive.

[Written by MAL Rewrite]",Signal.MD,Light novel,TV
Gekkan Mousou Kagaku,https://myanimelist.net/anime/56691/Gekkan_Mousou_Kagaku,"Jan 11, 2024",12 eps,23 min ,"['Comedy', 'Fantasy', 'Mystery']",,"Gekkan Mousou Kagaku is set in Most City in an unknown country in a small publishing house that prints a monthly magazine about the most outlandish of things. Everything changes when the staff of the magazine, editor-in-chief Tarou, his assistant Jirou and dog Saburou, meet with scientist Gorou Satou...

(Source: Crunchyroll)",OLM,Original,TV
Snack Basue,https://myanimelist.net/anime/55636/Snack_Basue,"Jan 13, 2024",13 eps,23 min ,['Comedy'],,"Located five stations away from Hokkaido's largest downtown area Susukino. A fun shop called ""Snack Bus"" can be found run by mama Basue and mama Akemi. Filled with the laughter of the girls and their unusual regulars, you'll be smiling along with them before you know it. 

(Official Site, translated)",Studio PuYUKAI,Manga,TV
Wonderful Precure!,https://myanimelist.net/anime/57390/Wonderful_Precure,"Feb 4, 2024",? eps,23 min ,['Action'],,"The Wonderful Precure! anime is set in Animal Town, a town where animals and people live together in harmony. Second-year junior high school student Iroha Inukai is best friends with her dog named Komugi. Out for a walk one day, Iroha and Komugi encounter a mysterious creature named Garugaru, who goes on a rampage in the city. Komugi suddenly transforms into a Pretty Cure named Cure Wonderful, to protect Iroha.

(Source: ANN)",Toei Animation,Original,TV
Yami Shibai 12,https://myanimelist.net/anime/57180/Yami_Shibai_12,"Jan 15, 2024",13 eps,4 min ,"['Avant Garde', 'Horror', 'Supernatural']",,Twelfth season of Yami Shibai.,ILCA,Original,TV
Chou Futsuu Ken Chiba Densetsu,https://myanimelist.net/anime/54197/Chou_Futsuu_Ken_Chiba_Densetsu,"Jan 5, 2024",13 eps,4 min ,"['Comedy', 'Fantasy']",,"In the seemingly ordinary Prefecture Chiba, where life moves at its own relaxed pace, meet Shikawa Ako—a high school student with an unremarkable existence. Little does she know, the humdrum days of Chiba are about to get a hilarious twist. In 'The Legend of Super Normal Prefecture Chiba,' Ako inadvertently becomes the epicenter of a comedic storm that turns the 'ordinary' into the spectacularly absurd.",Super Normal Studio,Original,TV
Cardfight!! Vanguard: Divinez,https://myanimelist.net/anime/54142/Cardfight_Vanguard__Divinez,"Jan 13, 2024",13 eps,24 min ,['Action'],,"One day, six cards known as the “Six Desires” were born with the power to change fate.
Six fighters were chosen, and would come to possess those six cards.

What awaited them was the “Fated Clash“, where they would fight each other until the end, and the last one standing would have any wish granted. A youth named Akina Myodo, who wants to help his frail sister, participates in the Fated Clash to have his wish granted.

And thus, he throws himself into battles with powerful fighters.

(Source: cf-vanguard.com)",GIFTanimation,Original,TV
Harimaware! Koinu,https://myanimelist.net/anime/57012/Harimaware_Koinu,"Jan 6, 2024",12 eps,4 min ,['Comedy'],,"The story of the series follows Koinu, a serious-minded dog who goes to work one day only to find that his company has gone bankrupt. At a loss, Koinu takes a job from a mysterious recruitment agent and is hired to paste dog stickers all over the city. Even though he doesn't understand the purpose of this strange assignment, Koinu works hard every day at his new employment.

(Source: Crunchyroll)",Opera House,Web manga,TV
Shinobanai! Crypto Ninja Sakuya: Ni no Maki,https://myanimelist.net/anime/57605/Shinobanai_Crypto_Ninja_Sakuya__Ni_no_Maki,"Jan 11, 2024",12 eps,3 min ,['Action'],,Second season of Shinobanai! Crypto Ninja Sakuya.,Fanworks,Other,TV
Enjou Bokumetsu! Mahou Shoujo Aiko,https://myanimelist.net/anime/57950/Enjou_Bokumetsu_Mahou_Shoujo_Aiko,"Jan 11, 2024",12 eps,4 min ,"['Comedy', 'Fantasy']",,(No synopsis yet.),,Original,TV
Colorful na Everyday,https://myanimelist.net/anime/57522/Colorful_na_Everyday,"Dec 19, 2023",26 eps,2 min ,['Comedy'],,"The original essay manga whimsically depicts Mumei's childhood memories and daily life, such as ""if a stupid grade school student got a manicure at school…,"" ""the story of when my first armpit hair sprouted,"" and ""a Filipino mom whacking a melonpan bun like a baseball.""

(Source: ANN)",,Web manga,TV
Xin Xiyou Lixian Ji,https://myanimelist.net/anime/58557/Xin_Xiyou_Lixian_Ji,"Jan 19, 2024",52 eps,14 min ,"['Action', 'Adventure', 'Fantasy']",,(No synopsis yet.),,Original,TV
Sakuretsu! Amabie-hime. Season 3,https://myanimelist.net/anime/57881/Sakuretsu_Amabie-hime_Season_3,"Jan 14, 2024",12 eps,3 min ,['Comedy'],,The third season of Sakuretsu! Amabie-hime.,CANON RECORDINGS,Original,TV
Dinoster: Gonglyongsuhodae 2nd Season,https://myanimelist.net/anime/58933/Dinoster__Gonglyongsuhodae_2nd_Season,"Feb 26, 2024",26 eps,12 min ,"['Action', 'Comedy', 'Sci-Fi']",,Second season of Dinoster: Gonglyongsuhodae.,,Original,TV
One Piece,https://myanimelist.net/anime/21/One_Piece,"Oct 20, 1999",? eps,24 min ,"['Action', 'Adventure', 'Fantasy']",,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it.

The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many.

As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure.

[Written by MAL Rewrite]",Toei Animation,Manga,TV
Sousou no Frieren,https://myanimelist.net/anime/52991/Sousou_no_Frieren,"Sep 29, 2023",28 eps,24 min ,"['Adventure', 'Drama', 'Fantasy']",,"During their decade-long quest to defeat the Demon King, the members of the hero's party—Himmel himself, the priest Heiter, the dwarf warrior Eisen, and the elven mage Frieren—forge bonds through adventures and battles, creating unforgettable precious memories for most of them.

However, the time that Frieren spends with her comrades is equivalent to merely a fraction of her life, which has lasted over a thousand years. When the party disbands after their victory, Frieren casually returns to her ""usual"" routine of collecting spells across the continent. Due to her different sense of time, she seemingly holds no strong feelings toward the experiences she went through.

As the years pass, Frieren gradually realizes how her days in the hero's party truly impacted her. Witnessing the deaths of two of her former companions, Frieren begins to regret having taken their presence for granted; she vows to better understand humans and create real personal connections. Although the story of that once memorable journey has long ended, a new tale is about to begin.

[Written by MAL Rewrite]",Madhouse,Manga,TV
Kusuriya no Hitorigoto,https://myanimelist.net/anime/54492/Kusuriya_no_Hitorigoto,"Oct 22, 2023",24 eps,22 min ,"['Drama', 'Mystery']",,"Maomao, an apothecary's daughter, has been plucked from her peaceful life and sold to the lowest echelons of the imperial court. Now merely a maid, Maomao settles into her new mundane life and hides her extensive knowledge of medicine in order to avoid any unwanted attention.

Not long after Maomao's arrival, the emperor's infant children inexplicably begin to experience grave symptoms—almost as if a curse has been cast. The curious Maomao easily solves the mystery and, to remain out of the limelight, attempts to leave an anonymous tip. Unfortunately, the dashing and perceptive eunuch Jinshi sees through it and manages to single her out.

In recognition of her talent, Maomao is promoted to lady-in-waiting for the emperor's favorite concubine, Gyokuyou. As Maomao continues to remedy the numerous ailments afflicting the imperial court, her pharmaceutical expertise quickly proves indispensable.

[Written by MAL Rewrite]",OLM,Light novel,TV
Meitantei Conan,https://myanimelist.net/anime/235/Meitantei_Conan,"Jan 8, 1996",? eps,24 min ,"['Adventure', 'Comedy', 'Mystery']",,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child.

Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa.

Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday.

[Written by MAL Rewrite]",TMS Entertainment,Manga,TV
"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su",https://myanimelist.net/anime/52347/Shangri-La_Frontier__Kusoge_Hunter_Kamige_ni_Idoman_to_su,"Oct 1, 2023",25 eps,25 min ,"['Action', 'Adventure', 'Fantasy']",,"High school student Rakurou Hizutome has a peculiar hobby of playing poorly made games—ones that are unbalanced or are filled with so many bugs that make them borderline unplayable. The few who share his hobby might recognize him by his in-game name, Sunraku. For his next game, Rakurou is recommended Shangri-La Frontier, a popular and well-received virtual reality game as a breather from the terrible games he has been playing recently.

Once he boots up the game, Rakurou decides to sell off most of his starting gear to gain extra money, leaving himself with only a pair of boxers, a bird mask, and some weapons. He is instantly hooked as he meticulously levels up his avatar. However, after encountering some intimidating monsters, he realizes that he may have underestimated the challenge that a mainstream game can offer. As Rakurou progresses, he must draw on all the skills he has perfected from his previous gaming experience. Before long, Sunraku's eccentric playstyle takes Shangri-La Frontier by storm.

[Written by MAL Rewrite]",C2C,Manga,TV
Undead Unluck,https://myanimelist.net/anime/52741/Undead_Unluck,"Oct 7, 2023",24 eps,23 min ,"['Action', 'Comedy']",,"With the conclusion of her favorite romance manga, Fuuko Izumo is ready to end her life of misery and loneliness having long accepted her fate of never being able to experience passionate love like fictional characters. Cursed with ""unluck,"" anyone Fuuko touches is in grave danger of experiencing unimaginable calamity.

While the possibility of imminent danger would have most sane people run in the opposite direction, Undead has other ideas. He is an immortal being with superhuman regenerative powers desperately seeking death, which has always eluded him. When their paths finally cross, Undead sees an opportunity to finally end his suffering by using Fuuko's unluck.

But before Undead can unlock the full potential of Fuuko's power to trigger the final devastating blow, the duo must first fend off a murderous secret organization hell-bent on exterminating those with special abilities.

[Written by MAL Rewrite]",David Production,Manga,TV
Ragna Crimson,https://myanimelist.net/anime/51297/Ragna_Crimson,"Oct 1, 2023",24 eps,24 min ,"['Action', 'Fantasy']",,"Said to be humanity's natural enemy, formidable dragons that belong to an ancient bloodline roam the world. Only two ways prove effective to kill a dragon: freezing their blood with silverine—an aura that comes from silver weapons—or letting their bodies be incinerated by sunlight.

Young hunter prodigy Leonica is accompanied by her close friend Ragna, who appears to lack the skills necessary in their profession. Moreover, many shun Ragna, considering him cursed because dragons always seem to attack him and slaughter his close ones. Nevertheless, Leonica sees potential in Ragna and gladly partners up with him. Likewise, Ragna feels certain that Leonica is immune to his misfortune thanks to her incredible strength.

His confidence is shaken, however, when Ragna dreams of Leonica's death, believing this to be a prophecy. As the destined day arrives, he comes face-to-face with his future self, who bestows him enormous power and memories from the future to ensure Leonica's safety. In order to succeed, Ragna must join forces with a mysterious figure known as Crimson and eradicate all dragons for good.

[Written by MAL Rewrite]",SILVER LINK.,Manga,TV
Crayon Shin-chan,https://myanimelist.net/anime/966/Crayon_Shin-chan,"Apr 13, 1992",? eps,21 min ,"['Comedy', 'Ecchi']",,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon.

Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with.

[Written by MAL Rewrite]",Shin-Ei Animation,Manga,TV
Nanatsu no Taizai: Mokushiroku no Yonkishi,https://myanimelist.net/anime/51794/Nanatsu_no_Taizai__Mokushiroku_no_Yonkishi,"Oct 8, 2023",24 eps,23 min ,"['Action', 'Adventure', 'Fantasy']",,"Percival has always lived with his grandfather on God's Finger, a remote haven that sits high above the clouds. And though he loves the simple life, he secretly longs for adventure. But Percival's life is changed forever when an intruder—who shares a shocking connection with him—tears away everything he's ever known.

With nothing left to do but chase down the one who took everything from him, Percival sets out on his own. During his journey, the sheltered boy discovers that there are a lot of things he doesn't know about normal life. Luckily, he meets friends along the way who can help him get by—but how will they react when they find out about Percival's destiny... and how it's connected to the end of the world?

(Source: Kodansha USA)",Telecom Animation Film,Manga,TV
Buta no Liver wa Kanetsu Shiro,https://myanimelist.net/anime/50583/Buta_no_Liver_wa_Kanetsu_Shiro,"Oct 8, 2023",12 eps,24 min ,"['Adventure', 'Fantasy']",,"An arrogant scientist awakens in the middle of a muddy pigpen, and the last thing he remembers is eating a raw pig liver and collapsing in the subway. He quickly gathers that he has turned into a pig and is now in a strange fantasy land. As he struggles to grasp reality, a young girl named Jess comes to his aid. Jess happens to be a Yesma—a discriminated class of servants distinguished by their telepathic abilities and the silver collars around their necks. Despite his inappropriate thoughts about her, Jess makes sacrifices for his sake, and the pig resolves to repay her the best he can within the limits of his new body.

But Jess' generosity does not absolve her from the prejudice the Yesmas face daily, and the pig begins to suspect that Jess is in greater danger than she thinks. While he wants to visit the royal capital and beg the king to change him back into a human, the pig realizes that he cannot simply turn his back on his kind savior.

[Written by MAL Rewrite]",Project No.9,Light novel,TV
Megumi no Daigo: Kyuukoku no Orange,https://myanimelist.net/anime/53848/Megumi_no_Daigo__Kyuukoku_no_Orange,"Sep 30, 2023",23 eps,23 min ,"['Action', 'Drama']",,"In Tokyo Fire Department's Fire Academy, a talented new rookie is excelling in the strict and grueling rescue training. With high proficiency in both physical and mental categories, Daigo Toake is envied by one of his peers, Shun Onoda. Despite feeling a growing sense of rivalry, Shun recognizes that a part of his jealousy stems from his admiration for Daigo, and that they will eventually work together for the same noble goal of rescuing people.

At the same time, Yuki Nakamura is the only woman among the current batch of recruits. She believes that she will not be outclassed in this male-dominated profession. As the fates of the three newbies intertwine, they may soon realize that the intensity of a real disaster is nowhere near what they have experienced in training. Even so, the heroes in orange will always shine brighter than any fire, saving those in need.

[Written by MAL Rewrite]",Brain's Base,Manga,TV
Captain Tsubasa Season 2: Junior Youth-hen,https://myanimelist.net/anime/54803/Captain_Tsubasa_Season_2__Junior_Youth-hen,"Oct 1, 2023",39 eps,22 min ,['Sports'],,"The International Junior Youth Tournament in Paris, France, is about to begin, and Tsubasa, Misaki, Wakabayashi, Hyuga, and Wakashimazu are ready. Japan’s team of elite players is to face off against the best the soccer world has to offer. Germany’s Schneider, France’s Pierre, Argentina’s Diaz, and Italy’s Hernandez await, along with a host of other new rivals. Let the battle begin!

(Source: VIZ Media)
",Studio Kai,Manga,TV
Sazae-san,https://myanimelist.net/anime/2406/Sazae-san,"Oct 5, 1969",? eps,24 min ,"['Comedy', 'Slice of Life']",,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. 

(Source: AniDB)",Eiken,4-koma manga,TV
Dog Signal,https://myanimelist.net/anime/54294/Dog_Signal,"Oct 22, 2023",20 eps,25 min ,['Slice of Life'],,"After his girlfriend Yuuko breaks up with him, Miyu Samura's luck is at an all-time low. But one day several months later, she reappears and gives Miyu a toy poodle she supposedly cannot take care of. Miyu's knowledge of dogs is nonexistent, and the puppy's rowdiness leaves him in danger of being evicted from his own home. 

When Miyu decides to take the puppy on a walk, he has a chance encounter with professional dog trainer Shinichirou Niwa and Niwa's well-behaved standard poodle Ourson. In just a matter of minutes, Niwa not only corrects the attitude of Miyu's dog, but also gives Miyu himself stern advice on how to treat his pet properly. Amazed by Niwa's techniques, Miyu decides to quit his job in order to become the trainer's assistant; however, Niwa is not as skillful in dealing with humans as he is with their canine companions. Even so, Miyu refuses to give up on Niwa and his failing business.

[Written by MAL Rewrite]",Fugaku,Manga,TV
Chibi Maruko-chan (1995),https://myanimelist.net/anime/6149/Chibi_Maruko-chan_1995,"Jan 8, 1995",? eps,23 min ,['Comedy'],,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life.

(Source: ANN)",Nippon Animation,Manga,TV
Yu☆Gi☆Oh! Go Rush!!,https://myanimelist.net/anime/50607/Yu☆Gi☆Oh_Go_Rush,"Apr 3, 2022",? eps,24 min ,"['Action', 'Fantasy']",,"After inheriting the company from their parents, siblings Yuuhi and Yuamu Oudou have started to work at Ultraterrestrial Trouble Solutions, an organization that hunts aliens. Although they have never encountered aliens before, Yuuhi is desperate to meet one as he believes that an alien has stolen his important item called the ""Earthdamar.""

One day, while searching for extraterrestrial creatures, Yuuhi and Yuamu find a strange spot in the forest where many trees have fallen, forming a scenery similar to a crop circle. As they venture further, they discover a mysterious spaceship and enter it out of curiosity. To their surprise, they come across Yudias Velgear, an alien from the Velgear Star Cluster. As it turns out, Yudias is seeking to learn about Rush Duel—a card game popular among elementary school students—as he believes that it will save his home from a long war.

With the siblings agreeing to teach Yudias about Rush Duel, they eventually realize that their first contact with an alien may not be a random coincidence.

[Written by MAL Rewrite]
",Bridge,Card game,TV
